PAC,long,lat
176026881,-45.462689792799665,-22.433753223832184
527835B,-45.46236890659969,-22.433690905310982
2548847,-45.46210626499209,-22.433610352135986
527856B,-45.461883212440284,-22.433746498701908
527926B,-45.462069608625484,-22.43427896390301
160371930,-45.462105724499565,-22.421703695169356
528115B,-45.4617948819282,-22.421731685668703
160371924,-45.461114926112884,-22.4217968649333
155704227,-45.46205089553234,-22.419815769082447
528325B,-45.46171126566236,-22.419952247498202
528332B,-45.46141032192878,-22.420034412258246
147740156,-45.46194463163937,-22.42587781211131
528549B,-45.46184826928214,-22.426122002328498
528549B,-45.46184826928214,-22.426122002328498
147740149,-45.461636258606404,-22.426655607869975
147740149,-45.461636258606404,-22.426655607869975
147740142,-45.46150135580291,-22.426999281091923
528640B,-45.461819171717366,-22.41732307679854
528647B,-45.46175023148794,-22.41704322306623
528668B,-45.461518055313945,-22.41735103851954
159512863,-45.46173758162405,-22.427911028171366
528759B,-45.461659366686376,-22.427766709466027
528780B,-45.46154207530651,-22.427559265547643
528787B,-45.46140520028973,-22.42730670803809
528794B,-45.46133724122069,-22.427324969671588
121959926,-45.461231099635484,-22.427551119488555
528808B,-45.46111521119798,-22.4277682634945
159512865,-45.46131732933122,-22.427180484591645
159512865,-45.46131732933122,-22.427180484591645
175863625,-45.46102121855438,-22.422845063448847
175863625,-45.46102121855438,-22.422845063448847
528871B,-45.461846751226574,-22.422725264759094
528913B,-45.461264017520364,-22.422808235311777
528927B,-45.46099183050853,-22.422772876666897
528927B,-45.46099183050853,-22.422772876666897
528948B,-45.4609415763926,-22.42226712222987
121960647,-45.46184725934353,-22.422878840186286
528990B,-45.46103168126706,-22.42307088051666
159512866,-45.46111198892709,-22.426792613288455
174042192,-45.46098489223897,-22.426558095279802
529025B,-45.46082846686022,-22.426269456969806
529032B,-45.460691624219066,-22.426025932250923
529144B,-45.46157626663137,-22.423204834535454
529179B,-45.459828204008375,-22.423498903851282
529186B,-45.46106169614035,-22.423332778384975
175863624,-45.46101335128509,-22.423405187299522
175863624,-45.46101335128509,-22.423405187299522
175863623,-45.46070250421718,-22.42343317600023
175863623,-45.46070250421718,-22.42343317600023
121960633,-45.461392185301065,-22.42336796975593
180048139,-45.46008060143856,-22.42342591397471
121960311,-45.46005162977883,-22.423480199751396
180048138,-45.46005162977883,-22.423480199751396
160371925,-45.46088157722295,-22.421752361082554
529256B,-45.46084157807633,-22.421409186984363
160371922,-45.460891442785794,-22.421797502552636
160371922,-45.460891442785794,-22.421797502552636
160371922,-45.460891442785794,-22.421797502552636
160371922,-45.460891442785794,-22.421797502552636
128332376,-45.46116832695668,-22.417370105046245
529319B,-45.46100320873103,-22.417388643670904
529326B,-45.460935044616576,-22.417343668575427
128332362,-45.46079913547169,-22.417380191842312
529375B,-45.46045909371219,-22.417390195001474
529403B,-45.46095209486327,-22.419565958102453
183377997,-45.460815468059366,-22.419385670112547
529417B,-45.460737200061715,-22.419223283127963
121960493,-45.46068760424947,-22.418916271668536
121960619,-45.46068760424947,-22.418916271668536
128332334,-45.46059914333574,-22.418609371725097
529438B,-45.46049125077059,-22.418302526640275
529445B,-45.46142302215469,-22.426818826727413
150032960,-45.46117214098149,-22.4273525428855
150032963,-45.46081210369556,-22.427199994484113
529494B,-45.46066548452444,-22.426938429364952
529501B,-45.4605286113063,-22.426685870956135
529508B,-45.46040145706155,-22.426433284668292
160371926,-45.460801042034404,-22.420903404668366
160371926,-45.460801042034404,-22.420903404668366
183377991,-45.46076107346471,-22.42056926515943
529585B,-45.46074253394073,-22.420840334313937
160371928,-45.46042197599337,-22.420868349994294
174042196,-45.46093153636127,-22.425112825396525
174042196,-45.46093153636127,-22.425112825396525
174042196,-45.46093153636127,-22.425112825396525
529662B,-45.460359282454874,-22.42543064310962
529669B,-45.46025233687578,-22.425412880599936
159998973,-45.4599903679611,-22.425531066805263
174042195,-45.46033967003967,-22.425376495828573
174042195,-45.46033967003967,-22.425376495828573
174042195,-45.46033967003967,-22.425376495828573
183377996,-45.46080718260538,-22.419819320505212
529739B,-45.46072125328317,-22.420280294100223
529746B,-45.46065302891412,-22.42021725162482
183377995,-45.46064235935734,-22.41992819692871
168648036,-45.46034215936311,-22.420236204836954
174042193,-45.460623129154044,-22.425881585666616
174042194,-45.46051564667971,-22.425701214039748
530012B,-45.46120833509656,-22.429484436157736
530019B,-45.46089753389401,-22.42953049223837
128399037,-45.46047990402428,-22.42959492056906
530033B,-45.46021768869531,-22.429640837254794
530040B,-45.45987773596869,-22.429686975173695
530061B,-45.46096036412945,-22.42795841704725
530068B,-45.460708406467745,-22.428166915870406
121959933,-45.460417429920426,-22.428330355061803
530082B,-45.460048507332715,-22.428430778757388
530089B,-45.45971815486894,-22.428440753138204
530103B,-45.45942643368295,-22.42837834648344
150032964,-45.46030372143957,-22.426261919751767
530271B,-45.46024524122487,-22.426207882187953
530306B,-45.459883018586424,-22.428340911303962
530313B,-45.459610850460365,-22.428314584550378
530320B,-45.45930935274441,-22.428234136596075
180048141,-45.460020456578775,-22.42286598437761
530411B,-45.45953482806982,-22.42293060336459
175863638,-45.46017028543031,-22.42410320060219
530530B,-45.460043550269575,-22.423977086873037
175863622,-45.45984847023067,-22.42375179500931
530572B,-45.45971142434274,-22.423445032662073
169739934,-45.459632857770146,-22.42319230697933
530593B,-45.45946880254314,-22.423536062039602
175863621,-45.45971157273084,-22.42349020201118
175863621,-45.45971157273084,-22.42349020201118
175863621,-45.45971157273084,-22.42349020201118
530768B,-45.46016146128238,-22.42437424187773
530789B,-45.459938629064425,-22.424573622474668
175863639,-45.459754514459235,-22.42472772220657
530817B,-45.459512247891894,-22.424927156762806
530992B,-45.460150224253425,-22.41801441353431
530999B,-45.46012879700635,-22.417409203971545
531013B,-45.45981986639367,-22.41801535422519
531020B,-45.45978875524679,-22.41741920533201
128332341,-45.45947988219075,-22.418043422965525
128332341,-45.45947988219075,-22.418043422965525
128332348,-45.45944966317137,-22.41771828836829
531048B,-45.45942928003723,-22.41742926155115
531104B,-45.45978094913147,-22.420951480626286
160371929,-45.45946039118405,-22.420979494508003
531188B,-45.460021603214386,-22.42026421961799
531209B,-45.45967195579607,-22.420310384516597
168648037,-45.459409698198954,-22.420338232023767
168648038,-45.45910854492337,-22.420357155558236
531244B,-45.459048167139144,-22.419724954642902
531244B,-45.459048167139144,-22.419724954642902
531356B,-45.45959608539101,-22.429732945818728
159998979,-45.45890941613658,-22.424811430203306
531734B,-45.45965039544933,-22.42556817013491
531741B,-45.45939790359034,-22.4256140580423
159998974,-45.45913596345389,-22.42574127703824
159998975,-45.45893226431252,-22.42585026227971
159998975,-45.45893226431252,-22.42585026227971
531762B,-45.45873837047935,-22.42598632161139
531769B,-45.458612673136315,-22.42617638972854
121960073,-45.45854566375135,-22.42648373213848
531797B,-45.459008292098986,-22.419417915304507
531804B,-45.45898829477392,-22.419246328255383
531818B,-45.45895843278538,-22.419029599736177
531825B,-45.45893822861632,-22.418794775958077
531832B,-45.45889998584562,-22.418984595862355
168648040,-45.45890818856202,-22.41852384439983
531846B,-45.458887954715294,-22.418279986032474
531853B,-45.45883842275498,-22.417991041952973
531860B,-45.45871133865734,-22.417756521246417
531874B,-45.45868628354509,-22.419003270284634
531881B,-45.45857459763954,-22.417540096698076
531888B,-45.458457467238304,-22.417377818531463
531923B,-45.45886804642316,-22.418135500053268
168648039,-45.45895825471962,-22.418975396697135
168648039,-45.45895825471962,-22.418975396697135
168648039,-45.45895825471962,-22.418975396697135
532154B,-45.45917735834837,-22.423554957695103
532161B,-45.45911890960997,-22.4235099547206
175863620,-45.45905983674203,-22.42327524155911
532182B,-45.45899089921056,-22.42299538692754
165897620,-45.45872860653992,-22.423014199845397
532224B,-45.458437223499004,-22.423051161981505
532238B,-45.45822351400392,-22.423069836403783
165897619,-45.45797099786324,-22.42310668792328
532441B,-45.459114595562085,-22.428108216221176
532448B,-45.45884168549537,-22.42785604272217
532455B,-45.4586951877327,-22.427630611463485
121960080,-45.458607081151854,-22.427432116698753
532469B,-45.458567174635334,-22.427116043670424
532476B,-45.45854676092421,-22.426817983163346
532490B,-45.45911504072649,-22.42824372336912
532497B,-45.45882266663273,-22.427982571038797
532504B,-45.45865676419828,-22.42776622922804
121959940,-45.458520013287966,-22.42754980378038
532525B,-45.45844135768249,-22.427269977027777
532546B,-45.458411316728814,-22.42699904546953
159998976,-45.45855185018769,-22.42540868256458
159998976,-45.45855185018769,-22.42540868256458
159998976,-45.45855185018769,-22.42540868256458
159998977,-45.458395637948286,-22.4251832782856
179206056,-45.45823868556687,-22.42473202905984
532658B,-45.458210127595294,-22.424912788294478
532665B,-45.45818231156437,-22.425319391576636
532882B,-45.45866634557535,-22.424766950634194
121960192,-45.45828709157598,-22.424677688424538
121960199,-45.45819872149377,-22.424397888651583
532910B,-45.457983055073896,-22.423820330543776
532910B,-45.457983055073896,-22.423820330543776
532917B,-45.45795686681589,-22.42472379396787
533750B,-45.4577882745092,-22.423685374680247
121960206,-45.45774848940124,-22.423405436411713
163945820,-45.457708586482056,-22.423089363383383
121960220,-45.457708586482056,-22.423089363383383
533778B,-45.45763102984813,-22.423143786756327
533785B,-45.457707757307105,-22.42283641646742
121960213,-45.45771848082319,-22.4231435385434
121960213,-45.45771848082319,-22.4231435385434
533848B,-45.45828802687089,-22.419040536391606
533862B,-45.45800633852167,-22.419068436958753
533890B,-45.45775376932096,-22.419087220199003
533981B,-45.45843368466677,-22.41901302163359
163945821,-45.457336983015296,-22.422367704206124
163945822,-45.45715168580159,-22.422160449145395
534485B,-45.45695661385662,-22.42193515368433
534485B,-45.45695661385662,-22.42193515368433
534506B,-45.45671310622481,-22.42175516426937
534520B,-45.45669269790966,-22.421457103762293
534541B,-45.4566430517354,-22.42113202402362
534548B,-45.45661310431126,-22.420888192635914
534555B,-45.45657326344531,-22.42059018698751
534562B,-45.456533599745796,-22.420346383478773
534569B,-45.45649372920218,-22.420039344140378
150344152,-45.45644393643846,-22.419669095052654
534681B,-45.45737848313047,-22.423171603686512
121960234,-45.457174490810075,-22.423190248431183
534702B,-45.45685392656742,-22.423218256916982
534716B,-45.45661109702445,-22.42324604506888
535017B,-45.45737376708564,-22.424698344952617
121960115,-45.45707248520699,-22.42468112923069
150344144,-45.45707248520699,-22.42468112923069
179206058,-45.456780920503036,-22.424663886529117
535185B,-45.45639172899507,-22.41558591935467
535192B,-45.45606152491939,-22.415632021300723
535220B,-45.455770185945255,-22.41567801263011
535227B,-45.45548853266962,-22.41571494239065
121960248,-45.45635857908513,-22.423282893890416
171594401,-45.45626117531293,-22.423210898664024
536067B,-45.45616099803158,-22.422289723991526
171594402,-45.45623102194406,-22.422903831446604
536669B,-45.45604648645616,-22.416978114848064
536690B,-45.45601748511882,-22.417023366934814
536718B,-45.45573583004449,-22.417060296695297
536725B,-45.45551244294484,-22.41708802818988
536823B,-45.45611138153498,-22.421973677942844
536830B,-45.456071483112396,-22.421657604015195
171594400,-45.456002256898614,-22.42128740978609
171594400,-45.456002256898614,-22.42128740978609
536851B,-45.45597225191784,-22.421025511018456
536858B,-45.45593252976238,-22.42076364012985
536865B,-45.455882974419694,-22.420465661461037
536872B,-45.4558433116195,-22.420221857952356
168183884,-45.455793520654424,-22.419851608864633
170569546,-45.455793520654424,-22.419851608864633
121960773,-45.455743935634075,-22.419544596505887
173115758,-45.45541475318828,-22.419906880298242
537348B,-45.455704244055596,-22.419291759307214
537355B,-45.45565465993457,-22.418984746049148
537362B,-45.45560486896949,-22.418614496961425
121960780,-45.45555531452612,-22.418316518292613
537376B,-45.45551559506862,-22.418054646504686
537383B,-45.455466040625254,-22.41775666783593
537390B,-45.45542632116775,-22.417494796947267
537397B,-45.4553866601662,-22.41725099343853
537404B,-45.455346823796845,-22.416952986890806
121960787,-45.455366756370665,-22.417106506560003
121960787,-45.455366756370665,-22.417106506560003
121960787,-45.455366756370665,-22.417106506560003
537705B,-45.45533183929291,-22.421298333850984
537712B,-45.455282196715984,-22.42097325411237
537719B,-45.45524256449272,-22.420738484293565
121960801,-45.455277778346726,-22.416636994801422
121960829,-45.455277778346726,-22.416636994801422
537894B,-45.455228167246105,-22.41632094785342
537901B,-45.4552165956693,-22.415751844272165
537901B,-45.4552165956693,-22.415751844272165
537908B,-45.45516866270356,-22.415950725745347
121960808,-45.45511952194835,-22.415779219635226
121960808,-45.45511952194835,-22.415779219635226
173115767,-45.45521261976654,-22.42049465290586
173115760,-45.45517286973211,-22.42022374832726
537999B,-45.45518164441734,-22.41993463877253
538006B,-45.455133238408166,-22.419988978508513
173115761,-45.455073643933474,-22.419591655330578
538020B,-45.45503389569768,-22.41932074985266
538027B,-45.45498434215364,-22.419022771183904
538034B,-45.45494462269613,-22.41876089939592
538538B,-45.45480175909387,-22.4196466236927
173115762,-45.4548611755028,-22.419989744730913
173115762,-45.4548611755028,-22.419989744730913
173115762,-45.4548611755028,-22.419989744730913
173115764,-45.45476401005101,-22.419990018124793
538587B,-45.45490493291629,-22.418508062197247
538594B,-45.454845398696136,-22.41812880549992
538601B,-45.45479575791785,-22.417803724861983
538608B,-45.45475601058138,-22.417532820283384
538615B,-45.45469656539416,-22.417180664655916
539245B,-45.45441476193167,-22.417172424167973
539252B,-45.45438476144756,-22.416910525400397
539259B,-45.45436644495544,-22.417253864973873
539266B,-45.454345102244645,-22.41666672099234
176050857,-45.454133340681096,-22.417281621649465
539392B,-45.45431036053469,-22.420921785911673
539399B,-45.45427070043246,-22.420677982402935
176050851,-45.45423104122955,-22.420434178894197
539413B,-45.454181488584766,-22.420136199326066
539546B,-45.45396828001208,-22.41432799893795
174926322,-45.45387126474702,-22.414373440781617
174926322,-45.45387126474702,-22.414373440781617
539560B,-45.453657128973305,-22.414256601760712
539567B,-45.45344308043377,-22.41416686291035
174926319,-45.45327858094174,-22.41437510452738
174926319,-45.45327858094174,-22.41437510452738
174926319,-45.45327858094174,-22.41437510452738
174926320,-45.45323892443679,-22.41413130011938
121961039,-45.45323871939132,-22.414068063390346
121961067,-45.45323871939132,-22.414068063390346
121961046,-45.45320000177861,-22.414113341557425
539602B,-45.45291799956601,-22.414041860743225
166219007,-45.452606820648214,-22.413961427178094
539616B,-45.45229567050876,-22.413890027302898
166219008,-45.45196505993954,-22.413809646797745
176050852,-45.45415151687894,-22.419883334248425
539735B,-45.45412142736194,-22.41959433441093
176050854,-45.45408173848142,-22.41934149631294
539749B,-45.45404208017783,-22.419097692804257
539910B,-45.45399255811003,-22.41880874692606
176050855,-45.45394297758628,-22.41850173366805
539924B,-45.45390326082679,-22.418239861880068
539931B,-45.45387343571042,-22.418032166151477
539938B,-45.45383374862854,-22.417779328053484
539952B,-45.453972684891426,-22.41867329373747
540155B,-45.45392856415185,-22.414066127150022
540162B,-45.45388878983573,-22.41378618798217
540169B,-45.45384907397556,-22.413524316194184
540428B,-45.45395853495836,-22.41730921464847
540435B,-45.453784169004166,-22.41747231479542
174926313,-45.453744393788725,-22.417192375627565
540449B,-45.45370461857323,-22.41691243645971
540470B,-45.45360889293602,-22.41735536605728
174926314,-45.45361555871102,-22.416415821832686
152482705,-45.45333695233842,-22.417392265240778
176050856,-45.45376429578556,-22.417336861606827
176050856,-45.45376429578556,-22.417336861606827
176050856,-45.45376429578556,-22.417336861606827
152482710,-45.45358789916219,-22.419866849675316
540540B,-45.45353828986015,-22.419550802727315
152482707,-45.45349851464471,-22.41927086266014
540561B,-45.45344887656438,-22.41894578202215
540568B,-45.45339923848405,-22.418620700484894
540575B,-45.45334968853723,-22.41832272091682
540582B,-45.45330997267706,-22.418060849128835
540589B,-45.45327022803855,-22.417789943650916
540610B,-45.4534191117026,-22.418756153673485
540988B,-45.45347694980137,-22.415621226738153
540995B,-45.45343729329642,-22.415377422330153
541002B,-45.453397548657904,-22.415106516852234
174926316,-45.45335780491871,-22.414835611374315
174926316,-45.45335780491871,-22.414835611374315
541016B,-45.453327894366794,-22.414600813676543
541023B,-45.453298130404335,-22.41441118532788
541023B,-45.453298130404335,-22.41441118532788
541030B,-45.45312435260672,-22.41475496107256
174926318,-45.4533477657867,-22.41473626686519
174926318,-45.4533477657867,-22.41473626686519
541051B,-45.453230571533595,-22.41754613924286
541058B,-45.45320054317051,-22.417275206785348
152482708,-45.4531509644454,-22.416968192627962
541072B,-45.453121229261285,-22.416787597969233
541086B,-45.453061994515394,-22.41649867997006
541093B,-45.45301259205746,-22.416245868851718
152482706,-45.45322038581213,-22.417401625384684
152482706,-45.45322038581213,-22.417401625384684
152482706,-45.45322038581213,-22.417401625384684
541429B,-45.452972877995876,-22.41598399706379
541436B,-45.4529234467596,-22.415722152255455
541478B,-45.452726166079685,-22.41481028017023
157773866,-45.45244451370331,-22.414847204534794
542416B,-45.45225127187865,-22.41518200054884
542423B,-45.45222121743518,-22.414902033502017
542444B,-45.45210456457397,-22.414884291676685
543620B,-45.45180350932446,-22.41493030369054
543676B,-45.45148299184655,-22.414967335074437
157773869,-45.451162503146975,-22.41501339924895
157774116,-45.450871105716885,-22.41504131420527
544068B,-45.45055061701731,-22.41508737748046
544096B,-45.45040577670517,-22.415367832859147
544131B,-45.45021069576694,-22.41513349471495
544159B,-45.44996790669347,-22.415170306664265
544201B,-45.449734834794754,-22.41520709073461
157774117,-45.45037578341561,-22.415105933192194
157774117,-45.45037578341561,-22.415105933192194
157774117,-45.45037578341561,-22.415105933192194
166219009,-45.451653911598726,-22.413738246023172
166219009,-45.451653911598726,-22.413738246023172
544586B,-45.4513428504921,-22.413693945419197
544593B,-45.45098338337641,-22.413703982752565
544600B,-45.45059508939181,-22.41381347251371
170472038,-45.45029441455557,-22.413976920698303
170472039,-45.45002297398105,-22.414167389013755
544621B,-45.4497418171311,-22.414357884308856
544880B,-45.44961518179514,-22.417276188844994
544887B,-45.449546121056585,-22.416951160367717
544901B,-45.449486863827644,-22.41665320598065
545097B,-45.44945318061974,-22.415244009703258
157774121,-45.44942815878244,-22.41652689440059
157774120,-45.4493785899499,-22.416219879343885
545125B,-45.44933888218361,-22.415958006656638
157774119,-45.44929917441732,-22.415696133969334
545139B,-45.44926915414811,-22.415425199713127
545230B,-45.449239540372446,-22.41528073981425
545230B,-45.449239540372446,-22.41528073981425
545230B,-45.449239540372446,-22.41528073981425
546749B,-45.44872938735131,-22.40467634074048
169868802,-45.44883762165887,-22.405100634586574
169512080,-45.44883762165887,-22.405100634586574
546763B,-45.44884661128202,-22.404874761760823
128332355,-45.459569499632664,-22.418702642213134
628467B,-45.453716914104234,-22.420697606509293
628474B,-45.453677196445426,-22.42043573472131
628502B,-45.45364740190604,-22.42023707268271
675752B,-45.45137281590269,-22.41394681049684
675773B,-45.4516061189272,-22.41398229504682
675780B,-45.451888091462195,-22.414044743969725
675787B,-45.45217009277553,-22.414116226582564
675794B,-45.45239370920228,-22.41416077000349
675801B,-45.45265625008585,-22.414223271986373
675808B,-45.45292853602308,-22.41429478067954
675815B,-45.45320079318202,-22.414357254783454
697893B,-45.462922656055696,-22.41899118969161
697900B,-45.462884509512435,-22.41920811156507
697907B,-45.462836705149755,-22.419443130496006
697907B,-45.462836705149755,-22.419443130496006
697914B,-45.4628374533857,-22.41966897544279
697921B,-45.462877247486915,-22.419948911912684
697928B,-45.46291695165593,-22.420201747312717
697949B,-45.46304497374649,-22.42071631240782
155704230,-45.46299666036754,-22.42079775591168
706447B,-45.45456005190482,-22.42001769386144
176050849,-45.454317255636795,-22.42005451210599
706482B,-45.453617959001576,-22.420146815822875
176050850,-45.45416185008929,-22.420073017455763
176050850,-45.45416185008929,-22.420073017455763
176050850,-45.45416185008929,-22.420073017455763
707021B,-45.46394006897896,-22.42106606594615
150067479,-45.463358061924964,-22.42136585495018
150067479,-45.463358061924964,-22.42136585495018
150067482,-45.46430857877783,-22.42084819438861
707056B,-45.464134040153795,-22.420957102288412
707063B,-45.46342616848284,-22.42139276086715
708477B,-45.4525052449211,-22.40959833299661
121961081,-45.45229085373984,-22.409400187168842
708491B,-45.45204737398706,-22.409220190559324
708498B,-45.45178440502622,-22.409022179629858
708505B,-45.45151166313269,-22.408806127400794
708512B,-45.45129721619355,-22.40858991239452
708512B,-45.45129721619355,-22.40858991239452
169512075,-45.451082770153675,-22.408373697388186
708526B,-45.45261276246896,-22.40979677829864
708533B,-45.452623297127445,-22.410049698234957
708540B,-45.452663009390335,-22.410311570922204
708547B,-45.45271246670694,-22.410582449420474
121961340,-45.448835598184246,-22.41052099065115
708561B,-45.44913652842803,-22.41043884927342
708568B,-45.44940802116321,-22.410266450136533
708575B,-45.449640736930405,-22.410121260887422
708582B,-45.44994143335043,-22.40996684729214
121961326,-45.45019395848436,-22.40993904205311
121961326,-45.45019395848436,-22.40993904205311
121961375,-45.45019395848436,-22.40993904205311
708617B,-45.45038763468153,-22.40973975678429
708624B,-45.4485147713396,-22.41045864335166
708631B,-45.44828130014184,-22.410368952165356
708638B,-45.44809661176919,-22.41034236280973
121961319,-45.450855042925866,-22.41006367459886
121961319,-45.450855042925866,-22.41006367459886
708729B,-45.45114587648095,-22.40986411683548
708736B,-45.4513004546522,-22.40959266816708
708743B,-45.45144537500403,-22.409339313858197
121961312,-45.451599981054244,-22.409076897980412
708841B,-45.4646752926306,-22.417170346734054
708848B,-45.46441361329755,-22.4173698442429
708876B,-45.45284137912631,-22.41138610608391
708883B,-45.452791920910386,-22.41111522758564
708890B,-45.452752208647496,-22.410853355797713
121961074,-45.45289083644292,-22.411656985481443
708904B,-45.45293057928279,-22.41192789095936
708918B,-45.45301972188264,-22.412451607555624
