Name, "kWh", "kvarh", "Max kW", "Max kVA", "Zone kWh", "Zone kvarh", "Zone Max kW", "Zone Max kVA", "Overload kWh Normal", "Overload kWh Emerg", "Load EEN", "Load UE", "Zone Losses kWh", "Zone Losses kvarh", "Zone Max kW Losses", "Zone Max kvar Losses", "Load Losses kWh", "Load Losses kvarh", "No Load Losses kWh", "No Load Losses kvarh", "Max kW Load Losses", "Max kW No Load Losses", "Line Losses", "Transformer Losses", "Line Mode Line Losses", "Zero Mode Line Losses", "3-phase Line Losses", "1- and 2-phase Line Losses", "Gen kWh", "Gen kvarh", "Gen Max kW", "Gen Max kVA", "13.8 kV Losses", "0.22 kV Losses", "Aux1", "Aux6", "Aux11", "Aux16", "Aux21", "13.8 kV Line Loss", "0.22 kV Line Loss", "Aux2", "Aux7", "Aux12", "Aux17", "Aux22", "13.8 kV Load Loss", "0.22 kV Load Loss", "Aux3", "Aux8", "Aux13", "Aux18", "Aux23", "13.8 kV No Load Loss", "0.22 kV No Load Loss", "Aux4", "Aux9", "Aux14", "Aux19", "Aux24", "13.8 kV Load Energy", "0.22 kV Load Energy", "Aux5", "Aux10", "Aux15", "Aux20", "Aux25"
"busa4-_2022124950_segmmt_1128316", 67639.9545896977, 30109.4795572903, 3969.33198052591, 4359.38127115643, 64935.8405385655, 27937.1208643909, 3787.09772452605, 4114.50902846117, 994.842662553844, 83.735674022365, 22080.8112491127, 13829.0659579338, 2704.10047524994, 2172.37450860332, 182.234016097168, 193.951275005754, 1575.89876904753, 2172.37450860332, 1128.20170620242, -5.56255079873446E-016, 136.015612344515, 47.4066124895919, 1317.91322987635, 1386.1872453736, 637.699344573314, 0.0528995800716267, 637.752243668975, 680.160986207378, 0, 0, 0, 0, 1927.33430379178, 776.766171458165, 0, 0, 0, 0, 0, 541.147058418188, 776.766171458165, 0, 0, 0, 0, 0, 257.98553917118, 0, 0, 0, 0, 0, 0, 1128.20170620242, 0, 0, 0, 0, 0, 0, 19897.9396141485, 45037.9009244169, 0, 0, 0, 0, 0
"source", 67639.9545896977, 30109.4795572903, 3969.33198052591, 4359.38127115643, 0, 0, 0, 0, 0, 0, 0, 0, 2.84183709606249, 4.94362791831489, 0.22833263455471, 0.399660371106467, 2.84183709606249, 4.94362791831489, 0, 0, 0.22833263455471, 0, 2.84183709606249, 0, 2.84162640568358, 0.000210692715511523, 2.84183709606249, 0, 0, 0, 0, 0, 2.84183709606249, 0, 0, 0, 0, 0, 0, 2.84183709606249, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0
