"Hour", "Element", "Normal Amps", "Emerg Amps", "% Normal", "% Emerg", "kVBase", "I1(A)", "I2(A)", "I3(A)"
1, "Line.RBT_E990822", 61, 600, 128.801507050593, 13.094819883477, 0.127017059221718, 78.5689193008617, 78.4822140583589, 78.5440172602784 
1, "Line.RBT_E1025437", 61, 600, 237.181906682, 24.1134938460034, 0.127017059221718, 144.666551261408, 144.597241544867, 144.68096307602 
2, "Line.RBT_E990822", 61, 600, 127.473386999706, 12.9597943449702, 0.127017059221718, 77.7587660698209, 77.6769018780918, 77.7251610337058 
2, "Line.RBT_E1025437", 61, 600, 234.702859261644, 23.8614573582672, 0.127017059221718, 143.16246017567, 143.096841586538, 143.168744149603 
3, "Line.RBT_E990822", 61, 600, 126.667051710528, 12.8778169239037, 0.127017059221718, 77.266901543422, 77.1884416922768, 77.2308985566506 
3, "Line.RBT_E1025437", 61, 600, 233.206761275407, 23.7093540629997, 0.127017059221718, 142.254482374077, 142.190280950583, 142.256124377998 
4, "Line.RBT_E990822", 61, 600, 119.418865061273, 12.1409179478961, 0.127017059221718, 72.8455076873767, 72.758315186519, 72.8139787032674 
4, "Line.RBT_E1025437", 61, 600, 219.843100684007, 22.3507152362074, 0.127017059221718, 134.101123880487, 134.041825497915, 134.104291417244 
4, "Line.RBT_E11409246", 61, 600, 180.503176043657, 18.3511562311051, 0.127017059221718, 110.10398980988, 110.055387145167, 110.106937386631 
5, "Line.RBT_E1016631", 46, 600, 122.966073695502, 9.42739898332186, 0.127017059221718, 56.5643938999311, 56.5643934402077, 1.37185438058394E-007 
5, "Line.RBT_E1025437", 61, 600, 160.365935690526, 16.3038701285368, 0.127017059221718, 97.8227561252186, 97.7713861265396, 97.8232207712209 
5, "Line.RBT_E11409246", 61, 600, 106.613656357232, 10.8390550629852, 0.127017059221718, 65.0338382551402, 64.9997054577803, 65.0343303779114 
6, "Line.RBT_E1025437", 61, 600, 148.445654800385, 15.0919749047059, 0.127017059221718, 90.5358312077536, 90.4938208890797, 90.5518494282352 
7, "Line.RBT_E1025437", 61, 600, 102.175443591984, 10.387836765185, 0.127017059221718, 62.3089543696116, 62.2893347734642, 62.32702059111 
7, "Line.RBT_E11480072", 61, 600, 120.564005176886, 12.2573405263167, 0.127017059221718, 73.5200801358548, 73.498613493864, 73.5440431579002 
8, "Transformer.TRF_167433A", 1.38062020893171, 1.88266392127052, 106.151279476924, 77.8442716164106, 7.96743371481684, 1.44943723963764, 1.45896822227054, 1.46554601649799 
8, "Line.RBT_E1017142", 34, 600, 100.353399194111, 5.68669262099961, 0.127017059221718, 0, 34.1201555534009, 0 
8, "Line.RBT_E1020936", 46, 600, 120.095757439524, 9.20734140369681, 0.127017059221718, 55.2440484221808, 55.2440479549636, 1.37637557560819E-007 
8, "Line.RBT_E1023190", 61, 600, 122.389715785951, 12.4429544382383, 0.127017059221718, 74.584076299445, 74.59543136377, 74.6577266294298 
8, "Line.RBT_E1025437", 61, 600, 115.719214333079, 11.7647867905297, 0.127017059221718, 70.5711278335699, 70.5469560523175, 70.5887207431782 
8, "Line.RBT_E4857615", 61, 600, 135.1611996994, 13.7413886361056, 0.127017059221718, 82.420761191182, 82.4352951220841, 82.4483318166337 
8, "Line.RBT_E11480072", 61, 600, 210.946140185931, 21.446190918903, 0.127017059221718, 128.637287526213, 128.597640265248, 128.677145513418 
9, "Transformer.TRF_167433A", 1.38062020893171, 1.88266392127052, 145.843479787584, 106.951885177562, 7.96743371481684, 1.99559731854828, 2.00243366849286, 2.01354455535663 
9, "Line.RBT_11480072", 131.2, 600, 180.935497738417, 39.5645621721338, 0.127017059221718, 237.291811294544, 237.188260567454, 237.387373032803 
9, "Line.RBT_E1011374", 61, 600, 218.992151395256, 22.2642020585177, 0.127017059221718, 133.52952693359, 133.382783336019, 133.585212351106 
9, "Line.RBT_E1017142", 34, 600, 191.218407271058, 10.8357097453599, 0.127017059221718, 0, 65.0142583101366, 0 
9, "Line.RBT_E1020936", 46, 600, 234.375507010513, 17.968788870806, 0.127017059221718, 107.812733224836, 107.812732763277, 1.37316638664943E-007 
9, "Line.RBT_E1031233", 61, 600, 146.796596624111, 14.9243206567846, 0.127017059221718, 89.5052859750407, 89.4648277298724, 89.5459239407079 
9, "Line.RBT_E1235913", 61, 600, 123.178034155544, 12.523100139147, 0.127017059221718, 75.0619427226625, 75.0120292965049, 75.1386008348818 
9, "Line.RBT_E1243739", 61, 600, 137.345049627687, 13.9634133788149, 0.127017059221718, 83.7527712899161, 83.707910552006, 83.7804802728893 
9, "Line.RBT_E4857615", 61, 600, 195.151130341002, 19.8403649180019, 0.127017059221718, 118.939456416349, 118.92544292546, 119.042189508011 
9, "Line.RBT_E6101701", 46, 600, 110.953256695019, 8.50641634661815, 0.127017059221718, 51.0384980797089, 51.0384976371357, 1.32453903584228E-007 
9, "Line.RBT_E11480072", 61, 600, 389.159629478533, 39.5645623303175, 0.127017059221718, 237.29181224168, 237.188261514068, 237.387373981905 
10, "Transformer.TRF_166418A", 3.45155052232928, 4.7066598031763, 106.268043546199, 77.9298986005461, 7.96743371481684, 3.66789521208795, 3.64084600918634, 3.61621279647647 
10, "Transformer.TRF_167433A", 1.38062020893171, 1.88266392127052, 167.644465451245, 122.939274664246, 7.96743371481684, 2.2906277326648, 2.294987898144, 2.31453336917543 
10, "Line.SBT_626360", 191.1, 600, 108.767750511918, 34.6425285380459, 0.127017059221718, 207.855171228275, 207.29706297097, 207.73989907743 
